station,name,rows,cols,lat,lon
71278099999,VERMILLION AGDM ALTA- CA,2866,3986,53.3333333,249.1333334
31594099999,ARHARA- RS,2788,2081,49.4166666,130.0833333
72548804955,OELWEIN MUNICIPAL AIRPORT- IA US,2653,4288,42.68083,268.02556
94150099999,GOVE AIRPORT- AS,1554,2189,-12.2833333,136.8166666
40780199999,MAHSHAHR- IR,2411,786,30.556192,49.151879
40947399999,CAMP AIRBORNE HLZ- AF,2487,1102,34.4,68.8833333
61701099999,BANJUL INTERNATIONAL- GA,2066,5494,13.337961,343.347794
93196099999,HICKS BAY AWS- NZ,1048,2853,-37.55,178.3
71412099999,EAST POINT AUT PEI- CA,2728,4768,46.45,298.0166667
82567099999,CARAJAS- BR,1677,4960,-6.117806,309.996528
08223099999,CUATRO VIENTOS- SP,2607,5699,40.370678,356.214856
72231612958,NEW ORLEANS ALVIN CALLENDER FIELD- LA US,2396,4320,29.81667,269.98333
07003099999,LE TOUQUET PARIS PLAGE- FR,2810,26,50.514747,1.627339
59758099999,HAIKOU- CH,2199,1764,20.0,110.25
33837099999,ODESA INTERNATIONAL- UP,2728,491,46.426767,30.676464
44242099999,HADATYN- MG,2788,1715,49.45,107.2
71922099999,LA RONGE- CA,2903,4076,55.15139,254.738056
33177099999,VOLODYMYR VOLYNS KYI- UP,2816,389,50.8333333,24.3166666
06252099999,K13 A- NL,2864,51,53.2166666,3.2166666
99999903733,ELKINS 21 ENE- WV US,2580,4488,39.013,280.52570000000003
10771099999,KUEMMERSBRUCK- GM,2788,190,49.4333333,11.9
03779099999,LONDON WEA CENTER- UK,2829,5758,51.5,359.8833333
26029099999,PAKRI- EN,2987,385,59.3833333,24.0333333
99800099999,GUANA TOLOMATO MATANZAS- FL US,2392,4461,29.65,278.7833334
71096499999,QIKIQTARJUAQ- CA,3150,4735,67.545833,295.968611
99999953132,ELGIN 5 S- AZ US,2431,3992,31.5907,249.4913
71435099999,UPSALA AUT ONT- CA,2780,4313,49.0333333,269.5333334
01373099999,NESBYEN TODOKK- NO,3011,146,60.5666666,9.1333333
55773099999,PAGRI- CH,2354,1425,27.7333333,89.0833333
71455099999,LUCKY LAKE SASK- CA,2818,4046,50.95,252.85
72510404843,MEADVILLE PORT MEADVILLE AIRPORT- PA US,2632,4477,41.62584,279.78769
76405599999,GENERAL MANUEL MARQUEZ DE LEON INTERNATIONAL- MX,2281,3994,24.072694,249.63752499999998
26318099999,STENDE- LG,2943,361,57.1833333,22.55
95827099999,KANAGULK- AS,1057,2269,-37.1166666,141.8
71248099999,SUNDRE A ALTA- CA,2835,3925,51.7666666,245.31666669999998
94862099999,YARRAWONGA- AS,1079,2337,-36.0166666,146.0333333
12756099999,SZECSENY- HU,2762,312,48.1166666,19.5166666
17203099999,BINGOL- TU,2577,648,38.8666666,40.5
59316099999,SHANTOU- CH,2267,1867,23.4,116.6833333
71085099999,PINCHER CREEK- CA,2790,3936,49.5166666,246.0
83378099999,PRESIDENTE JUSCELINO KUBITSCHEK- BR,1482,4993,-15.862583,312.087334
15511099999,LOM- BU,2676,372,43.8166666,23.25
22028099999,TERIBERKA- RS,3183,562,69.2,35.1166666
96179099999,DABO- ID,1790,1673,-0.479189,104.579283
72743404870,CHARLEVOIX MUNICIPAL AIRPORT- MI US,2706,4396,45.30472,274.72528
95670099999,RAYVILLE PARK- AS,1124,2211,-33.7833333,138.2166666
02284099999,JARNASKLUBB- SW,3068,315,63.4333333,19.6833333
95867099999,SCORESBY RESEARCH INSTITUTE- AS,1042,2324,-37.8666666,145.25
95981099999,ST HELENS AERODROME- AS,973,2372,-41.3333333,148.2666666
42361099999,GWALIOR- IN,2325,1252,26.293336,78.227753
37395099999,KUTAISI- GG,2645,682,42.2666666,42.6333333
48407699999,SUKHOTHAI- TH,2144,1597,17.237992,99.818183
71377099999,STE ANNE DE BELLEVUE 1 QUE- CA,2708,4577,45.4166666,286.0833334
82899099999,GUARARAPES GILBERTO FREYRE INTERNATIONAL- BR,1637,5201,-8.126486,325.076408
99780399999,PORT WING- MI US,2735,4298,46.7833333,268.6166667
33027099999,ZHITCKOVICHI- BO,2844,446,52.2166666,27.8666666
60602099999,BENI ABBES- AG,2402,5725,30.1333333,357.8333334
71461099999,EAGLESHAM AGCM- CA,2915,3874,55.8,242.1166667
99827199999,VALDEZ- AK US,3022,3418,61.1333333,213.6333334
37863599999,NAKHCHIVAN- AJ,2583,727,39.188806,45.458442
78631099999,COBAN- GT,2109,4313,15.468958,269.593258
15628099999,IVAILO- BU,2644,389,42.2166666,24.3333333
71968099999,SHINGLE POINT- CA,3178,3564,68.95,222.78
72570594030,VERNAL MUNICIPAL AIRPORT- UT US,2608,4008,40.44293,250.48721999999998
07145099999,TRAPPES- FR,2775,32,48.7666666,2.0
72210612835,FORT MYERS PAGE FIELD AIRPORT- FL US,2331,4450,26.58495,278.13854000000003
63733099999,MUSOMA- TZ,1769,541,-1.5,33.8
94631099999,ROCKY GULLY- AS,1108,1872,-34.5666666,117.0166666
13285099999,VELIKO GRADISTE- RI,2694,344,44.75,21.5166666
72562414994,LEXINGTON JIM KELLY FIELD- NE US,2615,4164,40.78861,260.22917
99999964757,EGBERT 1 W- ON CA,2684,4484,44.2326,280.219
72622564776,PLATTSBURGH INTERNATIONAL AIRPORT- NY US,2692,4585,44.63923,286.53688
53614099999,YINCHUAN- CH,2569,1699,38.4833333,106.2166667
78345099999,JUCARO CIEGO DE AVILA- CU,2232,4498,21.6166666,281.15
57127099999,HANZHONG- CH,2461,1713,33.0666666,107.0333333
99778799999,BURNS HARBOR- IN US,2632,4366,41.65,272.85
71464099999,LONG POINT AUT- CA,2650,4479,42.55,279.95
06319099999,WESTDORPE- NL,2824,62,51.2333333,3.8666666
99482099999,TYNDALL AFB TOWER C N4 FL- US,2388,4402,29.41,275.14
72033063853,MOUNT CARMEL MUNICIPAL AIRPORT- IL US,2572,4356,38.60667,272.27333
91557099999,PORT VILA BAUERFIELD- NH,1446,2693,-17.699325,168.319794
71198099999,LAC SAINT PIERRE QUE- CA,2723,4593,46.1833333,287.0833334
98431099999,CALAPAN MINDORO ISL- RP,2068,1939,13.4166667,121.1833333
61265099999,AMBODEDJO- ML,2090,5695,14.512803,355.920439
33036099999,MOZYR- BO,2840,467,52.0363889,29.1666666
98558099999,GUIUAN- RP,2020,2012,11.035544,125.741594
62458099999,ABURDEES- EG,2377,531,28.9,33.1833333
45044099999,CHEUNG CHAU- CH,2243,1824,22.2,114.0166666
01327099999,KVAMSKOGEN JONSHOGDI- NO,3007,95,60.3833333,5.9666666
72658304941,LITCHFIELD MUNICIPAL AIRPORT- MN US,2702,4248,45.14694,265.49278
76122099999,NUEVA CASAS GRANDES CHIH.- MX,2407,4033,30.3666666,252.05
40958599999,CAMP BLESSING NANGA- AF,2499,1134,34.983,70.9
28225099999,BOLSHOYE SAVINO- RS,2958,896,57.914517,56.021214
74490494723,LAWRENCE MUNICIPAL AIRPORT- MA US,2654,4622,42.71249,288.87442
67012099999,FASCENE- MA,1533,773,-13.312067,48.314822
86580099999,CARRASCO INTERNATIONAL- UY,1103,4864,-34.838417,303.969194
93831099999,QUEENSTOWN AERODROME- NZ,899,2700,-45.0166666,168.7333333
52112099999,NAOMAOHU- CH,2671,1522,43.6,95.1333333
47115099999,ULLEUNGDO- KS,2549,2094,37.4833333,130.9
71026099999,MEDICINE HAT RCS- CA,2800,3989,50.0333333,249.2833334
71541099999,JEAN COTE AGCM- CA,2917,3886,55.9,242.8833334
70341025507,HOMER AIRPORT- AK US,2992,3336,59.64196,208.50902
72734714841,PELLSTON REGIONAL AIRPORT- MI US,2711,4403,45.5644,275.20709
68858099999,EAST LONDON- SF,1139,445,-33.035569,27.825939
48863099999,QUANG NGAI- VM,2102,1741,15.1333333,108.7833333
02072099999,PARKALOMPOLO- SW,3154,365,67.7333333,22.8333333
10837099999,LAUPHEIM- GM,2764,159,48.220297,9.910019
99798299999,PORT INLAND- MI US,2719,4386,45.9666666,274.13333339999997
17300099999,ANTALYA- TU,2537,493,36.898731,30.800461
54337099999,JINZHOU- CH,2622,1938,41.1333333,121.1166666
86097099999,PEDRO JUAN CABALLERO- PA,1347,4867,-22.6403,304.1674
72290993115,IMPERIAL BEACH REAM FIELD NAS- CA US,2451,3886,32.56797,242.88285000000002
70212026646,CAPE ROMANZOF AIRPORT- AK US,3035,3103,61.78333,193.96667
02832099999,TOHMAJARVI KEMIE- FI,3044,486,62.2333333,30.35
72317493783,BURLINGTON ALAMANCE REGIONAL AIRPORT- NC US,2520,4488,36.04751,280.52625
93373099999,NAPIER AERODROME AWS- NZ,1010,2830,-39.4666666,176.8666666
99770399999,PILOT STATION EAST- LA US,2378,4330,28.92,270.6
72525604857,ASHTABULA CO AIRPORT- OH US,2635,4469,41.7794,279.30317
71504099999,THORSBY AGCM- CA,2864,3938,53.22,246.1
74693093737,FORT BRAGG SIMMONS ARMY AIR FIELD- NC US,2502,4497,35.13333,281.06667
72224400358,COLLEGE PARK AIRPORT- MD US,2579,4529,38.981,283.078
08570099999,CASTELO BRANCO- PO,2596,5640,39.8333333,352.5166667
28418099999,SARAPUL- RS,2929,860,56.4666666,53.7333333
07560099999,MONT AIGOUAL- FR,2682,57,44.1166666,3.5833333
94782099999,GOSFORD AWS- AS,1131,2422,-33.4333333,151.3666666
07476599999,CORMEILLES EN VEXIN- FR,2781,33,49.096647,2.040833
48907099999,RACH GIA- VM,1999,1681,10.0,105.0833333
72635794815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT- MI US,2644,4391,42.22826,274.454
11698099999,KUCHAROVICE- EZ,2777,257,48.8833333,16.0833333
99999903084,CENTER A 4 SSW- CO US,2554,4062,37.7068,253.85559999999998
02701099999,KILPISJARVI SAANA- FI,3180,334,69.05,20.85
78666099999,EL SALVADOR INTERNATIONAL- ES,2068,4335,13.440947,270.944272
40199099999,EILAT- IS,2391,559,29.561281,34.960081
47843099999,FUKUE- JA,2453,2061,32.7,128.8333333
94515099999,ROMA AIRPORT- AS,1268,2381,-26.55,148.7833333
41267099999,QALHAT- MU,2253,950,22.6666666,59.4
07791099999,CAPE SAGRO- FR,2655,152,42.8,9.4833333
99999994088,SUNDANCE 8 NNW- WY US,2690,4089,44.5169,255.56369999999998
72217263810,PARIS EDGAR CO AIRPORT- IL US,2593,4357,39.7,272.33056
67561099999,NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL- ZA,1540,458,-12.9833333,28.65
72066400242,INDEPENDENCE OIL PLATFORM- LA US,2361,4352,28.083,272.017
08545099999,PORTO- PO,2624,5621,41.248055,351.318611
72510094746,WORCESTER REGIONAL AIRPORT- MA US,2645,4610,42.2706,288.1269
26233099999,VILJANDI- EN,2967,410,58.3666666,25.6
28655099999,SUMIHA- RS,2904,1013,55.2333333,63.3166666
40580099999,RABYAH- KU,2385,767,29.3,47.9333333
85934099999,CARLOS IBANEZ DEL CAMPO INTERNATIONAL- CI,739,4626,-53.002642,289.145414
94596099999,BALLINA AIRPORT AWS- AS,1223,2457,-28.8333333,153.55
74757093874,GULFPORT BILOXI AIRPORT- MS US,2408,4335,30.4121,270.91907000000003
98653099999,SURIGAO- RP,1995,2008,9.7833333,125.4833333
42339099999,JODHPUR- IN,2325,1169,26.251092,73.048869
26094099999,TIHVIN- RS,2992,537,59.65,33.55
31845099999,KRASNYJ JAR- RS,2730,2165,46.5333333,135.3166666
